Entity,Relation,Action,Value,Iteration of Promotion,Action Source,Action Date
hunting,sportusesequipment,"ysportusesequipment,sport,sportsequipment",apparel,623,anonymous-12c765c5-9d0d1654-0f5cd718,2012-09-01T01:09:27-04:00
rugby,sportfansincountry,"ysportfansincountry,sport,country",argentina,631,anonymous-f324290b-7c35c16f-0f5cd718,2012-09-18T00:58:49-04:00
office,synonymfor,"nsynonymfor,everypromotedthing,everypromotedthing",division,655,anonymous-6c52c0fc-a8156f1b-2304cbba,2012-11-05T13:16:33-05:00
office,synonymfor,"ysynonymfor,governmentorganization,governmentorganization",division,655,anonymous-cc1cc087-92bf388b-bfcd55b4,2012-11-13T17:40:15-05:00
ski,sportschoolincountry,"nsportschoolincountry,sport,country",turkey,622,anonymous-7e86cdae-5e7cc7f1-83fba79c,2012-08-11T15:59:27-04:00
ski,sportschoolincountry,"ysportschoolincountry,sport,country",the_united_states,622,anonymous-d633321c-9d7b8f81-0f5cd718,2012-08-18T20:40:03-04:00
ski,sportschoolincountry,"ysportschoolincountry,sport,country",holland,622,anonymous-90709515-348688ba-0f5cd718,2012-08-19T16:21:59-04:00
ski,sportusesequipment,"nsportusesequipment,sport,sportsequipment",packages,622,anonymous-e9f72a31-3afd7b16-0f5cd718,2012-08-24T00:42:34-04:00
sports,sportusesequipment,"nsynonymfor,everypromotedthing,everypromotedthing",jewelry,365,anonymous-37a33ab0-ce23877c-8d3363c3,2012-08-10T14:30:25-04:00
badminton,sportusesequipment,"ysportusesequipment,sport,sportsequipment",racquet,622,anonymous-5ac0da91-b24e5d0d-91db15db,2012-08-13T02:50:44-04:00
aikido,sportschoolincountry,"ysportschoolincountry,sport,country",japan,520,anonymous-8d59f6ac-15c18f08-8d3363c3,2012-08-14T06:21:17-04:00
football,sporthassportsteamposition,"ysporthassportsteamposition,sport,sportsteamposition",offensive_guard,622,anonymous-7013540c-4c82a21a-0f5cd718,2012-08-26T21:24:59-04:00
golf,sportusesequipment,"ysportusesequipment,sport,sportsequipment",field,623,anonymous-12c765c5-9d0d1654-0f5cd718,2012-09-01T01:16:20-04:00
football,sportusesequipment,"nsportusesequipment,sport,sportsequipment",apparel,352,anonymous-3ed3d9da-84e61946-0f5cd718,2012-09-01T20:14:19-04:00
pool,sportusesequipment,"nsportusesequipment,sport,sportsequipment",field,215,anonymous-3ed3d9da-84e61946-0f5cd718,2012-09-01T20:30:32-04:00
golf,sportusesequipment,"ysportusesequipment,sport,sportsequipment",wood,623,anonymous-3ed3d9da-84e61946-0f5cd718,2012-09-02T00:26:41-04:00
sports,sportusesequipment,"nsportusesequipment,sport,sportsequipment",racquetball,539,anonymous-fa6288e6-93b87bf5-a918d6dd,2012-09-12T11:48:10-04:00
sports,sportusesequipment,"ysportusesequipment,sport,sportsequipment",protective_gear,103,anonymous-416cc61c-29aba0f4-0f5cd718,2012-09-13T21:32:28-04:00
swimming,sportusesequipment,"nsportusesequipment,sport,sportsequipment",accessories,622,anonymous-6d4000a8-7af55573-21421dc2,2012-08-14T10:32:08-04:00
basketball,sportusesequipment,"nsportusesequipment,sport,sportsequipment",clubs,215,anonymous-e9f72a31-3afd7b16-0f5cd718,2012-08-24T00:57:10-04:00
soccer,sportusesequipment,"ysportusesequipment,sport,sportsequipment",jersey,665,anonymous-86eddcff-8aa63eb5-0f5cd718,2012-08-30T11:35:08-04:00
basketball,sportusesequipment,"nsportusesequipment,sport,sportsequipment",field,623,anonymous-12c765c5-9d0d1654-0f5cd718,2012-09-01T01:15:30-04:00
snowboard,sportschoolincountry,"ysportschoolincountry,sport,country",switzerland,628,anonymous-3ed3d9da-84e61946-0f5cd718,2012-09-02T01:09:02-04:00
basketball,sportusesequipment,"nsportusesequipment,sport,sportsequipment",children,625,anonymous-a33cbc46-e920b38b-0f5cd718,2012-09-05T23:52:05-04:00
basketball,sportusesstadium,"ysportusesstadium,sport,stadiumoreventvenue",united_center,665,anonymous-8a1eec79-da30e6fa-3692a0bb,2012-09-14T09:55:19-04:00
soccer,sportusesequipment,"ysportusesequipment,sport,sportsequipment",soccer_accessories,629,anonymous-db090d85-715e45bd-0f5cd718,2012-09-16T21:08:38-04:00
softball,sportusesequipment,"nsportusesequipment,sport,sportsequipment",football,643,anonymous-92fb773f-fdd35a46-43c752e0,2012-10-15T22:18:28-04:00
the_shell_seekers,bookwriter,"ybookwriter,book,writer",rosamunde_pilcher,160,mg1,2012-10-17T10:35:51-04:00
basketball,sportusesstadium,"ystadiumhometosport,stadiumoreventvenue,stadiumoreventvenue",fedex_forum,665,mg1,2012-10-17T10:50:29-04:00
basketball,sportusesstadium,"ystadiumhometosport,stadiumoreventvenue,stadiumoreventvenue",conseco_fieldhouse,658,mg1,2012-10-17T10:52:36-04:00
basketball,sportusesstadium,"ystadiumhometosport,stadiumoreventvenue,stadiumoreventvenue",thomas___mack_center,222,mg1,2012-10-17T10:56:27-04:00
championships,awardtrophytournamentisthechampionshipgameofthenationalsport,"ninverseofawardtrophytournamentisthechampionshipgameofthenational,sport,sport",baseball,557,anonymous-234dde04-acd41d7e-153958c2,2012-07-27T16:44:32-04:00
angels_and_demons,bookwriter,"ywriterwrotebook,writer,writer",dan_brown,550,anonymous-57f47640-27fff99b-f8088bdf,2012-08-05T11:25:10-04:00
angels_and_demons,bookwriter,"ybookwriter,book,writer",dan_brown,550,anonymous-0bdc5c51-7b29ae52-4128dd39,2012-08-05T12:15:02-04:00
angels_and_demons,bookwriter,"ybookwriter,book,writer",dan_brown,550,anonymous-7d5fc9a3-d365eae6-fd71b466,2012-09-11T10:14:41-04:00
da_vinci_code,bookwriter,"ywriterwrotebook,writer,writer",dan_brown,5,anonymous-57f47640-27fff99b-f8088bdf,2012-08-05T11:25:11-04:00
baseball,sportusesequipment,"nsportusesequipment,sport,sportsequipment",photos,445,anonymous-bae35707-3b1d0746-f8088bdf,2012-08-17T15:17:39-04:00
the_hobbit,bookwriter,"ywriterwrotebook,writer,writer",tolkien,604,anonymous-583acf92-be99d6b1-ac734981,2012-08-21T12:23:07-04:00
baseball,sportusesstadium,"ysportusesstadium,sport,stadiumoreventvenue",shea_stadium,664,anonymous-879b150b-72cc26fc-0f5cd718,2012-08-22T01:29:32-04:00
macbeth,bookwriter,"ybookwriter,book,writer",shakespeare,631,anonymous-aad5a450-dfc54e85-f8088bdf,2012-08-23T20:49:45-04:00
satanic_verses,bookwriter,"ybookwriter,book,writer",rushdie,622,anonymous-e9f72a31-3afd7b16-0f5cd718,2012-08-24T01:00:03-04:00
hockey,sportusesequipment,"ysportusesequipment,sport,sportsequipment",clubs,215,anonymous-7013540c-25ecdff2-0f5cd718,2012-08-26T23:07:14-04:00
mein_kampf,bookwriter,"ybookwriter,book,writer",adolf_hitler,656,anonymous-8d8ca5e7-0f92bb15-0f5cd718,2012-08-29T01:39:45-04:00
mein_kampf,bookwriter,"ywriterwrotebook,person,person",adolf_hitler,656,anonymous-e57c7347-bd66ae38-dbfaa8bc,2012-11-13T14:03:44-05:00
time_machine,bookwriter,"ybookwriter,book,writer",h_g__wells,623,anonymous-827302c6-aece2e36-0f5cd718,2012-08-30T00:03:06-04:00
baseball,sportusesstadium,"ysportusesstadium,sport,stadiumoreventvenue",oriole_park,186,anonymous-12c765c5-9d0d1654-0f5cd718,2012-09-01T01:05:45-04:00
king_john,bookwriter,"nbookwriter,book,writer",shakespeare,631,anonymous-12c765c5-9d0d1654-0f5cd718,2012-09-01T01:19:49-04:00
romeo_and_juliet,bookwriter,"ybookwriter,book,writer",shakespeare,631,anonymous-3ed3d9da-84e61946-0f5cd718,2012-09-02T01:16:31-04:00
silmarillion,bookwriter,"ybookwriter,book,writer",tolkien,628,anonymous-72eb661a-3e8d1eff-8d4279c4,2012-09-04T21:14:31-04:00
silmarillion,bookwriter,"ybookwriter,book,writer",tolkien,628,anonymous-9ebcf687-6fa37598-31a7ef00,2012-09-05T08:11:54-04:00
computer_science,academicprogramatuniversity,"yuniversityhasacademicprogram,university,university",uc_berkeley,215,anonymous-ba765fd3-4087ebee-ac7875db,2012-07-30T14:47:20-04:00
computer_science,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",mit,554,anonymous-bdc33933-bd6dcbe2-24a26000,2012-08-08T06:32:26-04:00
computer_science,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",mit,554,anonymous-d1cf2d46-bd6dcbe2-07cb23fd,2012-08-23T06:12:10-04:00
engineering,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",auburn_university,665,anonymous-879b150b-72cc26fc-0f5cd718,2012-08-22T01:35:50-04:00
biology,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",history,626,anonymous-7013540c-4c82a21a-0f5cd718,2012-08-26T21:16:36-04:00
biology,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",history,626,anonymous-3ed3d9da-84e61946-0f5cd718,2012-09-02T00:35:35-04:00
biology,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",environment,626,anonymous-7013540c-25ecdff2-0f5cd718,2012-08-26T23:05:52-04:00
astronomy,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",business,623,anonymous-7013540c-25ecdff2-0f5cd718,2012-08-26T23:16:28-04:00
astronomy,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",history,623,anonymous-7013540c-25ecdff2-0f5cd718,2012-08-26T23:16:30-04:00
astronomy,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",history,623,anonymous-8d8ca5e7-0f92bb15-0f5cd718,2012-08-29T01:48:57-04:00
business,academicfieldsuchasacademicfield,"yacademicfieldsuchasacademicfield,academicfield,academicfield",finance,598,anonymous-7013540c-25ecdff2-0f5cd718,2012-08-26T23:17:13-04:00
business,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",planning,601,anonymous-7013540c-25ecdff2-0f5cd718,2012-08-26T23:17:16-04:00
business,academicprogramatuniversity,"nacademicprogramatuniversity,academicfield,university",graduate_school,598,anonymous-7013540c-25ecdff2-0f5cd718,2012-08-26T23:17:44-04:00
business,academicprogramatuniversity,"nacademicprogramatuniversity,academicfield,university",babson_college,517,anonymous-7013540c-25ecdff2-0f5cd718,2012-08-26T23:17:44-04:00
accounting,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",institute,665,anonymous-7013540c-25ecdff2-0f5cd718,2012-08-26T23:19:46-04:00
actuarial_science,academicfieldsuchasacademicfield,"ninverseofacademicfieldsuchasacademicfield,academicfield,academicfield",accounting,626,anonymous-7013540c-25ecdff2-0f5cd718,2012-08-26T23:19:52-04:00
actuarial_science,academicfieldsuchasacademicfield,"yinverseofacademicfieldsuchasacademicfield,academicfield,academicfield",accounting,626,anonymous-459fe390-375841eb-3e0a6dd9,2012-10-11T16:39:02-04:00
applied_mathematics,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",institute,598,anonymous-7013540c-25ecdff2-0f5cd718,2012-08-26T23:20:08-04:00
applied_science,academicfieldsuchasacademicfield,"yacademicfieldsuchasacademicfield,academicfield,academicfield",engineering,622,anonymous-7013540c-25ecdff2-0f5cd718,2012-08-26T23:26:06-04:00
computer_science,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",civil_engineering,626,anonymous-efd798ce-64ade4af-4b0266a8,2012-08-30T12:42:46-04:00
linguistics,academicfieldsuchasacademicfield,"yacademicfieldsuchasacademicfield,academicfield,academicfield",japanese,626,anonymous-3ed3d9da-84e61946-0f5cd718,2012-09-02T01:00:55-04:00
computer_science,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",institute,556,anonymous-87ccfccb-0f156afd-bea81d69,2012-09-10T17:59:17-04:00
computer_science,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",institute,556,anonymous-0eea61b7-1ed6048a-2843fab5,2012-11-08T12:12:41-05:00
biology,academicfieldsuchasacademicfield,"yacademicfieldsuchasacademicfield,academicfield,academicfield",marine,626,anonymous-b0f41635-bc0c4709-e4167b1d,2012-09-12T08:23:16-04:00
exercise_sciences,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",environmental_science,626,anonymous-25628de8-0f00b332-0f5cd718,2012-09-12T13:06:49-04:00
divinity,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",mccormick_theological_seminary,665,anonymous-416cc61c-29aba0f4-0f5cd718,2012-09-13T21:25:01-04:00
mechanical_engineering,academicfieldsuchasacademicfield,"ninverseofacademicfieldsuchasacademicfield,academicfield,academicfield",mathematics,626,anonymous-cfcc4daa-b473d8de-e31bf044,2012-09-23T21:23:20-04:00
the_catcher_in_the_rye,bookwriter,"ybookwriter,book,writer",j_d__salinger,643,anonymous-e314181d-46f4fdf9-3e0a6dd9,2012-09-24T09:14:12-04:00
babbitt,bookwriter,"ybookwriter,book,writer",sinclair_lewis,222,anonymous-a971e56c-23926403-079b915b,2012-09-24T16:30:44-04:00
the_war_of_the_worlds,bookwriter,"ybookwriter,book,writer",h__g__wells,665,anonymous-948a9dd5-92cea8a8-236cf1c9,2012-09-28T09:04:14-04:00
the_war_of_the_worlds,bookwriter,"ybookwriter,book,writer",h_g__wells,219,anonymous-948a9dd5-92cea8a8-236cf1c9,2012-09-28T09:04:24-04:00
fahrenheit_451,bookwriter,"ywriterwrotebook,writer,writer",ray_bradbury,601,anonymous-948a9dd5-92cea8a8-236cf1c9,2012-09-28T09:05:04-04:00
dandelion_wine,bookwriter,"ywriterwrotebook,writer,writer",ray_bradbury,601,anonymous-948a9dd5-92cea8a8-236cf1c9,2012-09-28T09:05:06-04:00
martian_chronicles,bookwriter,"ybookwriter,book,writer",ray_bradbury,601,anonymous-948a9dd5-92cea8a8-236cf1c9,2012-09-28T09:05:34-04:00
baseball,sporthassportsteamposition,"ysporthassportsteamposition,sport,sportsteamposition",hitter,641,anonymous-d9278e3e-ba6f36df-0f5cd718,2012-09-30T14:15:56-04:00
architecture,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",institute,599,anonymous-64b85ce8-83066820-f440851d,2012-10-02T10:00:11-04:00
architecture,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",harvard_university_graduate_school_of_design,599,anonymous-64b85ce8-83066820-f440851d,2012-10-02T10:00:15-04:00
architecture,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",cornell_university,214,anonymous-64b85ce8-83066820-f440851d,2012-10-02T10:00:17-04:00
english,languageofcity,"ylanguageofcity,language,city",toronto,601,anonymous-a7936ded-bd6dcbe2-24a26000,2012-08-08T06:00:20-04:00
english,languageofcity,"ylanguageofcity,language,city",toronto,601,anonymous-52f3f751-44f3d1fa-e31bf044,2012-09-02T09:13:28-04:00
engineering,academicprogramatuniversity,"yuniversityhasacademicprogram,university,university",uc_berkeley,661,anonymous-ba765fd3-4087ebee-ac7875db,2012-07-30T14:47:23-04:00
law,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",emory_university,517,anonymous-90709515-348688ba-0f5cd718,2012-08-19T16:24:15-04:00
genetics,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",medical,626,anonymous-3ed3d9da-84e61946-0f5cd718,2012-09-01T20:19:09-04:00
chemical_engineering,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",business_management,626,anonymous-fa81e8b3-866c7c0e-0f5cd718,2012-09-11T23:30:51-04:00
persian,languageofcountry,"ylanguageofcountry,language,country",iran,607,anonymous-edbd0e07-c7ff238a-af3e4f53,2012-10-04T05:15:06-04:00
persian,languageofcountry,"nlanguageofcountry,language,country",bahrain,215,anonymous-edbd0e07-c7ff238a-af3e4f53,2012-10-04T05:15:12-04:00
harry_potter_books,bookwriter,"ybookwriter,book,writer",j_k_rowling,10,anonymous-c84cea90-e0217377-19f80b21,2012-10-09T02:14:09-04:00
harry_potter_books,bookwriter,"ybookwriter,book,writer",j_k__rowling,599,anonymous-c84cea90-e0217377-19f80b21,2012-10-09T02:14:14-04:00
english,languageofcountry,"nlanguageofcountry,language,country",slovenia,557,anonymous-c5041652-2eaa53f5-21eb23ed,2012-07-27T12:33:20-04:00
english,languageofcity,"ylanguageofcity,language,city",pittsburgh,601,anonymous-a7936ded-bd6dcbe2-24a26000,2012-08-08T06:00:21-04:00
english,languageofcity,"ylanguageofcity,language,city",pittsburgh,601,anonymous-52f3f751-44f3d1fa-e31bf044,2012-09-02T09:13:28-04:00
english,languageofcountry,"ylanguageofcountry,language,country",uk__ireland,656,anonymous-5ac0da91-b24e5d0d-91db15db,2012-08-13T02:49:10-04:00
english,languageofcountry,"nlanguageofcountry,language,country",croatia,514,anonymous-90709515-348688ba-0f5cd718,2012-08-19T16:18:23-04:00
english,languageofuniversity,"ylanguageofuniversity,language,university",emory_university,622,anonymous-7013540c-4c82a21a-0f5cd718,2012-08-26T21:19:48-04:00
the_wapshot_chronicles,bookwriter,"ybookwriter,book,writer",john_cheever,2,mg1,2012-10-17T10:32:41-04:00
left_behind,bookwriter,"ybookwriter,book,writer",tim_lahaye_and_jerry_jenkins,13,mg1,2012-10-17T10:33:34-04:00
left_behind,bookwriter,"ybookwriter,book,writer",tim_lahaye,599,mg1,2012-10-17T10:33:36-04:00
gormenghast,bookwriter,"ybookwriter,book,writer",mervyn_peake,43,mg1,2012-10-17T10:33:57-04:00
a_suitable_boy,bookwriter,"ybookwriter,book,writer",vikram_seth,664,mg1,2012-10-17T10:35:35-04:00
a_month_in_the_country,bookwriter,"ybookwriter,book,writer",jl_carr,646,mg1,2012-10-17T10:41:56-04:00
breakfast_at_tiffany_s,bookwriter,"ybookwriter,book,writer",truman_capote,646,mg1,2012-10-17T10:42:30-04:00
cyteen,bookwriter,"ybookwriter,book,writer",c__j__cherryh,646,mg1,2012-10-17T10:45:54-04:00
remains_of_the_day,bookwriter,"ybookwriter,book,writer",kazuo_ishiguro,647,mg1,2012-10-19T10:29:32-04:00
golf,sportschoolincountry,"nsportschoolincountry,sport,country",thailand,631,anonymous-508e3c86-51c51ec9-e6f26b07,2012-10-22T03:14:51-04:00
english,languageofuniversity,"ylanguageofuniversity,language,university",dartmouth,221,anonymous-90709515-348688ba-0f5cd718,2012-08-19T16:10:33-04:00
english,languageofuniversity,"ylanguageofuniversity,language,university",iowa_state_university,620,anonymous-90709515-348688ba-0f5cd718,2012-08-19T16:18:51-04:00
english,languageofuniversity,"ylanguageofuniversity,language,university",victoria_university_of_wellington,607,anonymous-879b150b-72cc26fc-0f5cd718,2012-08-22T01:14:50-04:00
english,languageofuniversity,"ylanguageofuniversity,language,university",university_of_florida,662,anonymous-879b150b-72cc26fc-0f5cd718,2012-08-22T01:15:33-04:00
english,languageofuniversity,"ylanguageofuniversity,language,university",university_of_florida,662,anonymous-3ed3d9da-84e61946-0f5cd718,2012-09-01T20:16:42-04:00
english,languageofuniversity,"ylanguageofuniversity,language,university",ohio_university,665,anonymous-4a0b2e25-bc826ffd-a74f52ef,2012-08-25T15:07:32-04:00
english,languageofuniversity,"ylanguageofuniversity,language,university",catholic_university,655,anonymous-4a0b2e25-bc826ffd-a74f52ef,2012-08-25T15:09:42-04:00
english,languageofuniversity,"ylanguageofuniversity,language,university",carnegie_mellon,607,anonymous-8d8ca5e7-0f92bb15-0f5cd718,2012-08-29T01:36:21-04:00
english,languageofuniversity,"ylanguageofuniversity,language,university",washington_university,665,anonymous-8d8ca5e7-0f92bb15-0f5cd718,2012-08-29T01:54:09-04:00
english,languageofuniversity,"ylanguageofuniversity,language,university",indiana_university,664,anonymous-86eddcff-8aa63eb5-0f5cd718,2012-08-30T11:30:38-04:00
english,languageofuniversity,"ylanguageofuniversity,language,university",middlebury,613,anonymous-12c765c5-9d0d1654-0f5cd718,2012-09-01T01:21:12-04:00
english,languageofuniversity,"ylanguageofuniversity,language,university",university_of_washington,665,anonymous-d9278e3e-ba6f36df-0f5cd718,2012-09-30T14:28:19-04:00
english,languageofuniversity,"ylanguageofuniversity,language,university",loyola_university,665,anonymous-884c9a84-b05b3fb1-5cdc74ea,2012-10-02T13:07:18-04:00
russian,languageofcountry,"nlanguageofcountry,language,country",malaysia,427,anonymous-879b150b-72cc26fc-0f5cd718,2012-08-22T01:27:38-04:00
russian,languageofcity,"ylanguageofcity,language,city",st__petersburg,652,anonymous-e9f72a31-3afd7b16-0f5cd718,2012-08-24T01:14:22-04:00
russian,languageofcountry,"nlanguageofcountry,language,country",singapore,292,anonymous-fa81e8b3-866c7c0e-0f5cd718,2012-09-11T23:31:51-04:00
german_language,languageschoolincity,"ylanguageschoolincity,language,city",freiburg,632,anonymous-3524b8bd-8a54a7a0-b7c6eb12,2012-07-25T09:41:07-04:00
german_language,languageschoolincity,"ylanguageschoolincity,language,city",regensburg,622,anonymous-879b150b-72cc26fc-0f5cd718,2012-08-22T01:20:16-04:00
english_language,languageschoolincity,"yinverseoflanguegeschoolincity,city,city",adelaide,601,anonymous-a5092d9c-0f8a0574-515e8fe9,2012-08-13T22:37:30-04:00
english_language,languageschoolincity,"ylanguageschoolincity,language,city",vancouver,622,anonymous-7013540c-25ecdff2-0f5cd718,2012-08-26T23:13:43-04:00
english_language,languageschoolincity,"ylanguageschoolincity,language,city",vancouver,622,anonymous-8d8ca5e7-0f92bb15-0f5cd718,2012-08-29T01:51:00-04:00
spanish,languageofcity,"nlanguageofcity,language,city",baltimore,628,anonymous-12c765c5-9d0d1654-0f5cd718,2012-09-01T01:20:58-04:00
spanish,languageofcity,"nlanguageofcity,language,city",toronto,622,anonymous-12c765c5-9d0d1654-0f5cd718,2012-09-01T01:22:06-04:00
spanish,languageofcity,"ylanguageofcity,language,city",dallas,628,anonymous-3ed3d9da-84e61946-0f5cd718,2012-09-02T00:44:33-04:00
spanish,languageofcity,"ylanguageofcity,language,city",miami,631,anonymous-a33cbc46-e920b38b-0f5cd718,2012-09-06T00:14:59-04:00
spanish,languageofcity,"nlanguageofcity,language,city",portland,628,anonymous-fb7e332b-d285565f-0f5cd718,2012-09-09T12:16:20-04:00
english_language,languageschoolincity,"ylanguageschoolincity,language,city",boston,652,anonymous-d9278e3e-ba6f36df-0f5cd718,2012-09-30T14:13:27-04:00
french,languageofuniversity,"nlanguageofuniversity,language,university",indiana_university,604,anonymous-90709515-348688ba-0f5cd718,2012-08-19T16:05:05-04:00
spanish,languageofcountry,"ylanguageofcountry,language,country",panama,664,anonymous-bfc0925e-be99d6b1-210bcd1e,2012-08-30T10:49:51-04:00
spanish,languageofcity,"nlanguageofcity,language,city",minneapolis,622,anonymous-d88f3147-b43ceeda-0c6753df,2012-08-30T16:39:42-04:00
spanish,languageofcity,"ylanguageofcity,language,city",orlando,628,anonymous-12c765c5-9d0d1654-0f5cd718,2012-09-01T01:10:16-04:00
spanish,languageofcity,"nlanguageofcity,language,city",milwaukee,622,anonymous-3ed3d9da-84e61946-0f5cd718,2012-09-02T00:29:28-04:00
spanish,languageofcity,"nlanguageofcity,language,city",milwaukee,622,anonymous-a33cbc46-e920b38b-0f5cd718,2012-09-06T00:14:21-04:00
spanish,languageofcountry,"ylanguageofcountry,language,country",chile,628,anonymous-3ed3d9da-84e61946-0f5cd718,2012-09-02T01:08:39-04:00
spanish,languageofcountry,"ylanguageofcountry,language,country",chile,628,anonymous-fb7e332b-d285565f-0f5cd718,2012-09-09T12:27:55-04:00
malay,languageofcountry,"ylanguageofcountry,language,country",indonesia,628,anonymous-98f5cdf1-06979283-348b2715,2012-09-02T05:22:17-04:00
spanish,languageofcity,"ylanguageofcity,language,city",barcelona,628,anonymous-2e2704b3-8abc52c7-7dbdd8c5,2012-09-10T20:22:03-04:00
spanish,languageofcountry,"ylanguageofcountry,language,country",uruguay,628,anonymous-fa81e8b3-866c7c0e-0f5cd718,2012-09-11T23:30:45-04:00
spanish,languageofcity,"nlanguageofcity,language,city",tucson,622,anonymous-fa6288e6-93b87bf5-a918d6dd,2012-09-12T11:48:35-04:00
spanish,languageofcountry,"ylanguageofcountry,language,country",guatemala,662,anonymous-db090d85-715e45bd-0f5cd718,2012-09-16T21:03:27-04:00
anxiety,emotionassociatedwithdisease,"yinverseofemotionassocietedwithdisease,disease,disease",asthma,557,anonymous-491d0a40-3fc8fb8d-21eb23ed,2012-07-19T13:45:15-04:00
depression,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",memory_problems,622,anonymous-e9f72a31-3afd7b16-0f5cd718,2012-08-24T01:20:00-04:00
symptoms,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",disorders,625,anonymous-e9f72a31-3afd7b16-0f5cd718,2012-08-24T01:13:29-04:00
abuse,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",disorders,625,anonymous-8d8ca5e7-0f92bb15-0f5cd718,2012-08-29T01:47:21-04:00
depression,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",chronic_fatigue,626,anonymous-8d8ca5e7-0f92bb15-0f5cd718,2012-08-29T01:52:05-04:00
depression,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",chronic_fatigue,626,anonymous-3ed3d9da-84e61946-0f5cd718,2012-09-02T00:52:39-04:00
