Entity,Relation,Action,Value
soccer,sportusesequipment,"ysportusesequipment,sport,sportsequipment",jersey
basketball,sportusesequipment,"nsportusesequipment,sport,sportsequipment",field
snowboard,sportschoolincountry,"ysportschoolincountry,sport,country",switzerland
basketball,sportusesequipment,"nsportusesequipment,sport,sportsequipment",children
basketball,sportusesstadium,"ysportusesstadium,sport,stadiumoreventvenue",united_center
soccer,sportusesequipment,"ysportusesequipment,sport,sportsequipment",soccer_accessories
softball,sportusesequipment,"nsportusesequipment,sport,sportsequipment",football
the_shell_seekers,bookwriter,"ybookwriter,book,writer",rosamunde_pilcher
basketball,sportusesstadium,"ystadiumhometosport,stadiumoreventvenue,stadiumoreventvenue",fedex_forum
basketball,sportusesstadium,"ystadiumhometosport,stadiumoreventvenue,stadiumoreventvenue",conseco_fieldhouse
basketball,sportusesstadium,"ystadiumhometosport,stadiumoreventvenue,stadiumoreventvenue",thomas___mack_center
championships,awardtrophytournamentisthechampionshipgameofthenationalsport,"ninverseofawardtrophytournamentisthechampionshipgameofthenational,sport,sport",baseball
angels_and_demons,bookwriter,"ywriterwrotebook,writer,writer",dan_brown
angels_and_demons,bookwriter,"ybookwriter,book,writer",dan_brown
angels_and_demons,bookwriter,"ybookwriter,book,writer",dan_brown
da_vinci_code,bookwriter,"ywriterwrotebook,writer,writer",dan_brown
baseball,sportusesequipment,"nsportusesequipment,sport,sportsequipment",photos
the_hobbit,bookwriter,"ywriterwrotebook,writer,writer",tolkien
baseball,sportusesstadium,"ysportusesstadium,sport,stadiumoreventvenue",shea_stadium
macbeth,bookwriter,"ybookwriter,book,writer",shakespeare
satanic_verses,bookwriter,"ybookwriter,book,writer",rushdie
hockey,sportusesequipment,"ysportusesequipment,sport,sportsequipment",clubs
mein_kampf,bookwriter,"ybookwriter,book,writer",adolf_hitler
mein_kampf,bookwriter,"ywriterwrotebook,person,person",adolf_hitler
time_machine,bookwriter,"ybookwriter,book,writer",h_g__wells
baseball,sportusesstadium,"ysportusesstadium,sport,stadiumoreventvenue",oriole_park
king_john,bookwriter,"nbookwriter,book,writer",shakespeare
romeo_and_juliet,bookwriter,"ybookwriter,book,writer",shakespeare
silmarillion,bookwriter,"ybookwriter,book,writer",tolkien
silmarillion,bookwriter,"ybookwriter,book,writer",tolkien
computer_science,academicprogramatuniversity,"yuniversityhasacademicprogram,university,university",uc_berkeley
computer_science,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",mit
computer_science,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",mit
engineering,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",auburn_university
biology,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",history
biology,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",history
biology,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",environment
astronomy,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",business
astronomy,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",history
astronomy,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",history
business,academicfieldsuchasacademicfield,"yacademicfieldsuchasacademicfield,academicfield,academicfield",finance
business,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",planning
business,academicprogramatuniversity,"nacademicprogramatuniversity,academicfield,university",graduate_school
business,academicprogramatuniversity,"nacademicprogramatuniversity,academicfield,university",babson_college
accounting,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",institute
actuarial_science,academicfieldsuchasacademicfield,"ninverseofacademicfieldsuchasacademicfield,academicfield,academicfield",accounting
actuarial_science,academicfieldsuchasacademicfield,"yinverseofacademicfieldsuchasacademicfield,academicfield,academicfield",accounting
applied_mathematics,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",institute
applied_science,academicfieldsuchasacademicfield,"yacademicfieldsuchasacademicfield,academicfield,academicfield",engineering
computer_science,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",civil_engineering
linguistics,academicfieldsuchasacademicfield,"yacademicfieldsuchasacademicfield,academicfield,academicfield",japanese
computer_science,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",institute
computer_science,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",institute
biology,academicfieldsuchasacademicfield,"yacademicfieldsuchasacademicfield,academicfield,academicfield",marine
exercise_sciences,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",environmental_science
divinity,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",mccormick_theological_seminary
mechanical_engineering,academicfieldsuchasacademicfield,"ninverseofacademicfieldsuchasacademicfield,academicfield,academicfield",mathematics
the_catcher_in_the_rye,bookwriter,"ybookwriter,book,writer",j_d__salinger
babbitt,bookwriter,"ybookwriter,book,writer",sinclair_lewis
the_war_of_the_worlds,bookwriter,"ybookwriter,book,writer",h__g__wells
the_war_of_the_worlds,bookwriter,"ybookwriter,book,writer",h_g__wells
fahrenheit_451,bookwriter,"ywriterwrotebook,writer,writer",ray_bradbury
dandelion_wine,bookwriter,"ywriterwrotebook,writer,writer",ray_bradbury
martian_chronicles,bookwriter,"ybookwriter,book,writer",ray_bradbury
baseball,sporthassportsteamposition,"ysporthassportsteamposition,sport,sportsteamposition",hitter
architecture,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",institute
architecture,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",harvard_university_graduate_school_of_design
architecture,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",cornell_university
english,languageofcity,"ylanguageofcity,language,city",toronto
english,languageofcity,"ylanguageofcity,language,city",toronto
engineering,academicprogramatuniversity,"yuniversityhasacademicprogram,university,university",uc_berkeley
law,academicprogramatuniversity,"yacademicprogramatuniversity,academicfield,university",emory_university
genetics,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",medical
chemical_engineering,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",business_management
persian,languageofcountry,"ylanguageofcountry,language,country",iran
persian,languageofcountry,"nlanguageofcountry,language,country",bahrain
harry_potter_books,bookwriter,"ybookwriter,book,writer",j_k_rowling
harry_potter_books,bookwriter,"ybookwriter,book,writer",j_k__rowling
english,languageofcountry,"nlanguageofcountry,language,country",slovenia
english,languageofcity,"ylanguageofcity,language,city",pittsburgh
english,languageofcity,"ylanguageofcity,language,city",pittsburgh
english,languageofcountry,"ylanguageofcountry,language,country",uk__ireland
english,languageofcountry,"nlanguageofcountry,language,country",croatia
english,languageofuniversity,"ylanguageofuniversity,language,university",emory_university
the_wapshot_chronicles,bookwriter,"ybookwriter,book,writer",john_cheever
left_behind,bookwriter,"ybookwriter,book,writer",tim_lahaye_and_jerry_jenkins
left_behind,bookwriter,"ybookwriter,book,writer",tim_lahaye
gormenghast,bookwriter,"ybookwriter,book,writer",mervyn_peake
a_suitable_boy,bookwriter,"ybookwriter,book,writer",vikram_seth
a_month_in_the_country,bookwriter,"ybookwriter,book,writer",jl_carr
breakfast_at_tiffany_s,bookwriter,"ybookwriter,book,writer",truman_capote
cyteen,bookwriter,"ybookwriter,book,writer",c__j__cherryh
remains_of_the_day,bookwriter,"ybookwriter,book,writer",kazuo_ishiguro
golf,sportschoolincountry,"nsportschoolincountry,sport,country",thailand
english,languageofuniversity,"ylanguageofuniversity,language,university",dartmouth
english,languageofuniversity,"ylanguageofuniversity,language,university",iowa_state_university
english,languageofuniversity,"ylanguageofuniversity,language,university",victoria_university_of_wellington
english,languageofuniversity,"ylanguageofuniversity,language,university",university_of_florida
english,languageofuniversity,"ylanguageofuniversity,language,university",university_of_florida
english,languageofuniversity,"ylanguageofuniversity,language,university",ohio_university
english,languageofuniversity,"ylanguageofuniversity,language,university",catholic_university
english,languageofuniversity,"ylanguageofuniversity,language,university",carnegie_mellon
english,languageofuniversity,"ylanguageofuniversity,language,university",washington_university
english,languageofuniversity,"ylanguageofuniversity,language,university",indiana_university
english,languageofuniversity,"ylanguageofuniversity,language,university",middlebury
english,languageofuniversity,"ylanguageofuniversity,language,university",university_of_washington
english,languageofuniversity,"ylanguageofuniversity,language,university",loyola_university
russian,languageofcountry,"nlanguageofcountry,language,country",malaysia
russian,languageofcity,"ylanguageofcity,language,city",st__petersburg
russian,languageofcountry,"nlanguageofcountry,language,country",singapore
german_language,languageschoolincity,"ylanguageschoolincity,language,city",freiburg
german_language,languageschoolincity,"ylanguageschoolincity,language,city",regensburg
english_language,languageschoolincity,"yinverseoflanguegeschoolincity,city,city",adelaide
english_language,languageschoolincity,"ylanguageschoolincity,language,city",vancouver
english_language,languageschoolincity,"ylanguageschoolincity,language,city",vancouver
spanish,languageofcity,"nlanguageofcity,language,city",baltimore
spanish,languageofcity,"nlanguageofcity,language,city",toronto
spanish,languageofcity,"ylanguageofcity,language,city",dallas
spanish,languageofcity,"ylanguageofcity,language,city",miami
spanish,languageofcity,"nlanguageofcity,language,city",portland
english_language,languageschoolincity,"ylanguageschoolincity,language,city",boston
french,languageofuniversity,"nlanguageofuniversity,language,university",indiana_university
spanish,languageofcountry,"ylanguageofcountry,language,country",panama
spanish,languageofcity,"nlanguageofcity,language,city",minneapolis
spanish,languageofcity,"ylanguageofcity,language,city",orlando
spanish,languageofcity,"nlanguageofcity,language,city",milwaukee
spanish,languageofcity,"nlanguageofcity,language,city",milwaukee
spanish,languageofcountry,"ylanguageofcountry,language,country",chile
spanish,languageofcountry,"ylanguageofcountry,language,country",chile
malay,languageofcountry,"ylanguageofcountry,language,country",indonesia
spanish,languageofcity,"ylanguageofcity,language,city",barcelona
spanish,languageofcountry,"ylanguageofcountry,language,country",uruguay
spanish,languageofcity,"nlanguageofcity,language,city",tucson
spanish,languageofcountry,"ylanguageofcountry,language,country",guatemala
anxiety,emotionassociatedwithdisease,"yinverseofemotionassocietedwithdisease,disease,disease",asthma
depression,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",memory_problems
symptoms,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",disorders
abuse,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",disorders
depression,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",chronic_fatigue
depression,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",chronic_fatigue
mental_illness,emotionassociatedwithdisease,"nemotionassociatedwithdisease,emotion,disease",disorders
portuguese,languageofcountry,"ylanguageofcountry,language,country",portugal
portuguese,languageofcountry,"ylanguageofcountry,language,country",brazil
type,emotionassociatedwithdisease,"nemotionassociatedwithdisease,emotion,disease",disorder
type,emotionassociatedwithdisease,"nemotionassociatedwithdisease,emotion,disease",disorder
disorder,emotionassociatedwithdisease,"nemotionassociatedwithdisease,emotion,disease",dysthymic_disorder
disorder,emotionassociatedwithdisease,"nemotionassociatedwithdisease,emotion,disease",disorder
disorder,emotionassociatedwithdisease,"nemotionassociatedwithdisease,emotion,disease",premenstrual_dysphoric_disorder
disorder,emotionassociatedwithdisease,"nemotionassociatedwithdisease,emotion,disease",syndrome
disorder,emotionassociatedwithdisease,"nemotionassociatedwithdisease,emotion,disease",personality_disorders
abuse,emotionassociatedwithdisease,"nemotionassociatedwithdisease,emotion,disease",disorder
disorder,emotionassociatedwithdisease,"nemotionassociatedwithdisease,emotion,disease",paranoid_schizophrenia
depression,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",medications
disorder,emotionassociatedwithdisease,"nemotionassociatedwithdisease,emotion,disease",fibromyalgia
anxiety,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",anxiety_disorders
arabic,languageofcity,"ycitylanguage,city,city",cairo
flowers,plantrepresentemotion,"yinverseofplantrepresentemotion,emotion,emotion",love
flowers,plantrepresentemotion,"yinverseofplantrepresentemotion,emotion,emotion",love
orchids,plantrepresentemotion,"ninverseofplantrepresentemotion,emotion,emotion",love
orchids,plantrepresentemotion,"yinverseofplantrepresentemotion,emotion,emotion",love
pansies,plantrepresentemotion,"ninverseofplantrepresentemotion,emotion,emotion",love
pansies,plantrepresentemotion,"yinverseofplantrepresentemotion,emotion,emotion",love
roses,plantrepresentemotion,"yinverseofplantrepresentemotion,emotion,emotion",love
roses,plantrepresentemotion,"yinverseofplantrepresentemotion,emotion,emotion",love
roses,plantrepresentemotion,"yinverseofplantrepresentemotion,emotion,emotion",love
escherichia_coli,bacteriaisthecausativeagentofphysiologicalcondition,"nbacteriaisthecausativeagentofphysiologicalcondition,bacteria,physiologicalcondition",infections
mahogany,plantincludeplant,"nplantincludeplant,plant,plant",trees
mahogany,plantincludeplant,"nplantincludeplant,plant,plant",trees
trees,plantincludeplant,"yplantincludeplant,plant,plant",coconut_trees
phobia,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",disorder
phobia,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",disorder
championship,sportsgameteam,"ysportsgameteam,sportsgame,sportsteam",pittsburgh_steelers
hazelnut,plantincludeplant,"nplantincludeplant,plant,plant",trees
magnolia,plantincludeplant,"nplantincludeplant,plant,plant",tree
magnolia,plantincludeplant,"nplantincludeplant,plant,plant",tree
flowers,plantrepresentemotion,"yplantrepresentemotion,plant,emotion",beauty
pain,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",arthritis
pecan,plantincludeplant,"nplantincludeplant,plant,plant",trees
clinical_depression,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",disorder
foliage,plantgrowinginplant,"yplantgrowinginplant,plant,plant",tree
flowers,plantrepresentemotion,"yplantrepresentemotion,plant,emotion",purity
flowers,plantrepresentemotion,"yplantrepresentemotion,plant,emotion",purity
panic_attacks,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",disorder
flowers,plantincludeplant,"yplantincludeplant,plant,plant",carnations
gift,plantrepresentemotion,"yplantrepresentemotion,plant,emotion",grace
plants,plantincludeplant,"yplantincludeplant,plant,plant",blueberries
plants,plantincludeplant,"yplantincludeplant,plant,plant",blueberries
series,sportsgameteam,"ysportsgameteam,sportsgame,sportsteam",houston_astros
roses,plantrepresentemotion,"yplantrepresentemotion,plant,emotion",romance
world_cup,sportsgamewinner,"ysportsgamewinner,sportsgame,sportsteam",italy
hardwood,plantincludeplant,"nplantincludeplant,plant,plant",trees
hardwood,plantincludeplant,"nplantincludeplant,plant,plant",trees
fifa_world_cup,sportsgameteam,"nsportsgameteam,sportsgame,sportsteam",brazil
maple,plantincludeplant,"nplantincludeplant,plant,plant",hardwood
balsam,plantincludeplant,"nplantincludeplant,plant,plant",trees
bushes,plantincludeplant,"yplantincludeplant,plant,plant",elderberry
s_,bacteriaisthecausativeagentofphysiologicalcondition,"nbacteriaisthecausativeagentofphysiologicalcondition,bacteria,physiologicalcondition",system
staphylococcus,bacteriaisthecausativeagentofphysiologicalcondition,"ybacteriaisthecausativeagentofphysiologicalcondition,bacteria,physiologicalcondition",infections
eucalyptus,plantincludeplant,"nplantincludeplant,plant,plant",trees
finals,sportsgameteam,"nsportsgameteam,sportsgame,sportsteam",jazz
playoffs,sportsgameteam,"ysportsgameteam,sportsgame,sportsteam",pittsburgh_steelers
home,plantrepresentemotion,"yplantrepresentemotion,plant,emotion",appreciation
trees,plantincludeplant,"yplantincludeplant,plant,plant",palm
plants,plantincludeplant,"yplantincludeplant,plant,plant",hydrangeas
fa_cup,sportsgameteam,"nsportsgameteam,sportsgame,sportsteam",spurs
playoffs,sportsgameteam,"ysportsgameteam,sportsgame,sportsteam",houston_rockets
playoffs,sportsgameteam,"ysportsgameteam,sportsgame,sportsteam",eagles
playoffs,sportsgameteam,"ysportsgameteam,sportsgame,sportsteam",phoenix_suns
playoffs,sportsgameteam,"ysportsgameteam,sportsgame,sportsteam",bulls
staphylococcus,bacteriaisthecausativeagentofphysiologicalcondition,"nbacteriaisthecausativeagentofphysiologicalcondition,bacteria,physiologicalcondition",children
series,sportsgameteam,"ysportsgameteam,sportsgame,sportsteam",yankees
s_,bacteriaisthecausativeagentofphysiologicalcondition,"yinverseofbacteriaisthecausativeagentofphysiologicalcondition,disease,disease",endocarditis
staphylococcus,bacteriaisthecausativeagentofphysiologicalcondition,"ninverseofbacteriaisthecausativeagentofphysiologicalcondition,disease,disease",endocarditis
n2006_sugar_bowl,sportsgameloserscore,"ysportsgameloserscore,sportsgame,nonneginteger",35
fear,emotionassociatedwithdisease,"nemotionassociatedwithdisease,emotion,disease",addiction
fear,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",ageing
fear,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",aids
fear,emotionassociatedwithdisease,"yemotionassociatedwithdisease,emotion,disease",cancer
spanish,languageofcity,"nlanguageofcity,language,city",albany
spanish,languageofuniversity,"nlanguageofuniversity,language,university",ucla
russian,languageofcountry,"nlanguageofcountry,language,country",australia
russian,languageofcountry,"nlanguageofcountry,language,country",australia
evil_under_the_sun,bookwriter,"nbookwriter,book,writer",agatha_christie
streptococcus,bacteriaisthecausativeagentofphysiologicalcondition,"ybacteriaisthecausativeagentofphysiologicalcondition,bacteria,physiologicalcondition",infection
streptococcus,bacteriaisthecausativeagentofphysiologicalcondition,"ybacteriaisthecausativeagentofphysiologicalcondition,bacteria,physiologicalcondition",infection
bjj,sportschoolincountry,"nsportschoolincountry,sport,country",brazil
english_language,languageofcountry,"ylanguageofcountry,language,country",australia
english_language,languageofcountry,"ylanguageofcountry,language,country",australia
soccer,sportusesstadium,"ysportusesstadium,sport,stadiumoreventvenue",wembley_stadium
golf,sportschoolincountry,"nsportschoolincountry,sport,country",japan
flowers,plantincludeplant,"yplantincludeplant,plant,plant",hydrangeas
german,languageofcountry,"ylanguageofcountry,language,country",germany
world_cup,sportsgamedate,"ysportsgamedate,sportsgame,dateliteral",n2008
world_cup,sportsgamedate,"ysportsgamedate,sportsgame,dateliteral",n2008
lime,plantincludeplant,"nplantincludeplant,plant,plant",trees
azerbaijani,languageofcountry,"ylanguageofcountry,language,country",azerbaijan
english,languageofuniversity,"ylanguageofuniversity,language,university",stanford
first_playoff,sportsgamedate,"nsportsgamedate,sportsgame,dateliteral",n2002
baseball,sportusesstadium,"ysportusesstadium,sport,stadiumoreventvenue",new_yankee_stadium
m_s,academicfieldsuchasacademicfield,"yacademicfieldsuchasacademicfield,academicfield,academicfield",engineering
animal_farm,bookwriter,"ybookwriter,book,writer",george_orwell
alice_in_wonderland,bookwriter,"nbookwriter,book,personeurope",lewis_carrol
english,languageofuniversity,"ylanguageofuniversity,language,university",long_island_university
about_a_boy,bookwriter,"ybookwriter,book,writer",nick_hornby
about_a_boy,bookwriter,"ybookwriter,book,writer",nick_hornby
biology,academicfieldsuchasacademicfield,"yinverseofacademicfieldsuchasacademicfield,academicfield,academicfield",ecology
legend_of_mana,haswikipediaurl,"yhaswikipediaurl,videogame,http",//en.wikipedia.org/wiki/Legend%20of%20Mana
tonga,countrylocatedingeopoliticallocation,"ycountrylocatedingeopoliticallocation,country,geopoliticallocation",countries
world_cup,sportsgameteam,"ysportsgameteam,sportsgame,sportsteam",brazil
world_cup,sportsgameteam,"ysportsgameteam,sportsgame,sportsteam",france
world_cup,sportsgameteam,"ysportsgameteam,sportsgame,sportsteam",croatia
eragon,bookwriter,"ybookwriter,book,personus",christopher_paolini
eragon,bookwriter,"ybookwriter,book,writer",paolini
first_game,sportsgamescore,"nsportsgamescore,sportsgame,gamescore",4-2
hockey,sportusesequipment,"ysportusesequipment,sport,sportsequipment",skate
portuguese,languageofcountry,"ycountrylanguage,country,country",brasil
midges,animalsuchasinsect,"nanimalsuchasinsect,animal,insect",insects
dad,persondiedatage,"npersondiedatage,person,nonneginteger",10
dad,persondiedatage,"-persondiedatage,,",10
dad,persondiedatage,"-persondiedatage,person,nonneginteger",10
united_kingdom,countrycurrency,"ycurrencycountry,currency,currency",pounds
united_kingdom,countrycurrency,"ycountrycurrency,country,currency",pounds
liberal_arts,languageofcity,"nlanguageofcity,language,city",new_york_city
liberal_arts,languageofcity,-1language,new_york_city
liberal_arts,languageofcity,"-languageofcity,,",new_york_city
liberal_arts,languageofcity,"-languageofcity,language,city",new_york_city
n2000_world_series,sportsgamesport,"ysportsgamesport,sportsgame,sport",baseball
douglas_fir,plantincludeplant,"nplantincludeplant,plant,plant",trees
basketball,sportusesequipment,"nsportusesequipment,sport,sportsequipment",collectible
basketball,sportusesequipment,"-sportusesequipment,,",collectible
basketball,sportusesequipment,"-sportusesequipment,sport,sportsequipment",collectible
basketball,sportusesequipment,-2sportsequipment,collectible
information_technology,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",engineering
world,sportsgamewinner,"nsportsgamewinner,sportsgame,sportsteam",world_champion_boston_red_sox
brothers_karamazov,bookwriter,"ybookwriter,book,writer",fyodor_dostoevsky
english,languageofuniversity,"ylanguageofuniversity,language,university",north_carolina_state_university
gingko,plantincludeplant,"nplantincludeplant,plant,plant",trees
citrus,plantincludeplant,"nplantincludeplant,plant,plant",trees
electrical_and_computer_engineering,academicfieldsuchasacademicfield,"yacademicfieldsuchasacademicfield,academicfield,academicfield",computer_science
electrical_and_computer_engineering,academicfieldsuchasacademicfield,"nacademicfieldsuchasacademicfield,academicfield,academicfield",educational_leadership
electrical_and_computer_engineering,academicfieldsuchasacademicfield,"-academicfieldsuchasacademicfield,,",educational_leadership
electrical_and_computer_engineering,academicfieldsuchasacademicfield,"-academicfieldsuchasacademicfield,academicfield,academicfield",educational_leadership
exercise_sciences,academicfieldsuchasacademicfield,"ninverseofacademicfieldsuchasacademicfield,academicfield,academicfield",electrical_and_computer_engineering
exercise_sciences,academicfieldsuchasacademicfield,"-academicfieldsuchasacademicfield,,",electrical_and_computer_engineering
exercise_sciences,academicfieldsuchasacademicfield,"-academicfieldsuchasacademicfield,academicfield,academicfield",electrical_and_computer_engineering
tarantulas,arthropodcalledarthropod,"yarthropodcalledarthropod,arthropod,arthropod",spiders
larvae,invertebratefeedonfood,"yinvertebratefeedonfood,invertebrate,food",plants
larvae,invertebratefeedonfood,"yinvertebratefeedonfood,invertebrate,food",plants
brown_recluse,arthropodandotherarthropod,"yarthropodandotherarthropod,arthropod,arthropod",spiders
shrimp,arthropodcalledarthropod,"yarthropodcalledarthropod,arthropod,arthropod",shellfish
butterflies,arthropodlookslikeinsect,"yarthropodlookslikeinsect,arthropod,insect",moths
shrimp,arthropodcalledarthropod,"yarthropodcalledarthropod,arthropod,arthropod",seafood
ants,animaleatfood,"nanimaleatfood,animal,food",plants
recluse,arthropodandotherarthropod,"yarthropodandotherarthropod,arthropod,arthropod",brown_recluse_spider
grubs,animalistypeofanimal,"yanimalistypeofanimal,animal,animal",invertebrates
spiders,arthropodcalledarthropod,"narthropodcalledarthropod,arthropod,arthropod",black_widow_spiders
lobsters,arthropodcalledarthropod,"yarthropodcalledarthropod,arthropod,arthropod",seafood
scallops,arthropodcalledarthropod,"yarthropodcalledarthropod,arthropod,arthropod",seafood
creatures,animalthatfeedoninsect,"yanimalthatfeedoninsect,animal,insect",beetles
recluse_spiders,arthropodandotherarthropod,"yarthropodandotherarthropod,arthropod,arthropod",brown_recluse
lobster,arthropodcalledarthropod,"yarthropodcalledarthropod,arthropod,arthropod",seafood
birds,animaleatfood,"yanimaleatfood,animal,food",foods
ocelots,animalistypeofanimal,"yanimalistypeofanimal,animal,animal",animals
parasites,animalsuchasinsect,"yanimalsuchasinsect,animal,insect",ticks
parasites,animalsuchasinsect,"yanimalsuchasinsect,animal,insect",mosquitoes
brown_widow,animalsuchasinvertebrate,"yanimalsuchasinvertebrate,animal,invertebrate",widow_spider
ants,animalsuchasinvertebrate,"nanimalsuchasinvertebrate,animal,invertebrate",pests
poisonous_arachnids,arachnidssuchasarachnids,"yinverseofarachnidssuchasarachnides,arachnid,arachnid",black_widow_spiders
black_widow_spiders,arthropodcalledarthropod,"yarthropodcalledarthropod,arachnid,arachnid",spiders
spiders,arthropodandotherarthropod,"yinverseofarthropodandotherarthropod,arachnid,arachnid",black_widow_spiders
horses,animaleatfood,"yinverseofanimaleatfood,vegetable,vegetable",meal
livestock,animaleatvegetable,"yinverseofanimaleatvegetable,vegetable,vegetable",meal
livestock,agriculturalproductincludingagriculturalproduct,"yagriculturalproductincludingagriculturalproduct,agriculturalproduct,agriculturalproduct",horses
livestock,animalpreyson,"nanimalpreyson,animal,animal",man
livestock,agriculturalproductincludingagriculturalproduct,"yagriculturalproductincludingagriculturalproduct,agriculturalproduct,agriculturalproduct",poultry
cows,animaleatfood,"nanimaleatfood,animal,food",dinner
cows,animaleatfood,"yanimaleatfood,animal,food",dinner
cows,animaleatfood,"yanimaleatfood,animal,food",dinner
cows,animaleatfood,"yanimaleatfood,animal,food",hay
dogs,animaleatfood,"nanimaleatfood,animal,food",chocolate
dogs,animaleatfood,"yanimaleatfood,animal,food",chocolate
cats,animaldevelopdisease,"yanimaldevelopdisease,animal,disease",epilepsy
cats,animaldevelopdisease,"nanimaldevelopdisease,animal,disease",acne
